p p > kkgrav , p = u,d,g
Mass(GeV) CX(pb)
######################################################
260 4096.33 
300 2137.11 
350 1039.78 
400 541.299 
450 296.951 
500 172.344 
550 103.421 
600 65.5296 
650 41.7059 
700 27.3874 
750 18.2317 
800 12.5083 
850 8.64389 
900 6.09884 
950 4.2972 
1000 3.11739 
1050 2.24728 
1100 1.65352 
1150 1.22477 
1200 0.91754 
1250 0.682626 
1300 0.51259 
1350 0.384521 
1400 0.296836 
1450 0.226742 
1500 0.176655 
1600 0.105482 
1700 0.0645893 
1800 0.0397662 
1900 0.0248059 
2000 0.015683 
2100 0.00992216 
2200 0.00635851 
2300 0.00409212 
2400 0.00264705 
2500  0.00172264 
2600 0.00111922 
2700 0.000736161 
2800 0.000480543 
2900 0.000315027 
3000 0.000206978
